NRA,NOMBRE,SCIAN,DESC_SCIAN,SECTOR,SUBSECTOR,ACTIVIDAD,PARQ_ IND,COORD_UTMX,COORD_UTMY,LAT_NORTE,lat1,lat2,lat3,lat,LON_OESTE,lon1,lon2,lon3,lon,CALLE,NUM_EXT,NUM_INT,COLONIA,LOCALIDAD,ESTADO,MUNICIPIO,CP
PTE1412000571,"PARQUE DE TECNOLOGIA ELECTRONICA SA DE CV,flex",221110,"Generación, transmisión y distribución de energía eléctrica",Generación de energia electrica,Generacion y transmision de energia electrica,Arrendamiento y administracion de parque industria,,661783.1578,2294314.052,"20°44'29""",20,44,29,20.74138889,"103°26'46""",103,26,46,-103.4461111,Carretera BASE AEREA,5850,LOTE 4 ,Residencial LA MORA,ZAPOPAN,JALISCO,Zapopan,45136
PTE1505100114,"Plastic Tec S.A. de C.V.,PLASTIC TEC SA DE CV",326192,Fabricación de autopartes de plástico con y sin reforzamiento,Automotriz,Produccion de otras auto partes,FABRICACION DE AUTOPARTES DE PLASTICO ,LERMA DE VILLADA CENTRO,444277.5562,2134065.335,"19°17'58""",19,17,58,19.29944444,"99°31'49""",99,31,49,-99.53027778,Avenida de los Sauces,22, ,,LERMA DE VILLADA,MEXICO,Lerma,52000
PTE5U1510411,"PINTURAS Y TEXTURIZADOS, S.A. DE C.V.,PINTEX",325510,Fabricación de pinturas y recubrimientos,Pinturas y tintas,"Produccion de pinturas, recubrimientos e impermeabilizantes",PRODUCCIÓN FABRICACIÓN DE PINTURAS PRODUCTOS IMPERMEABILIZANTES Y PARA RECUBRIMIENTO,,478303.8663,2161195.495,"19°32'43""",19,32,43,19.54527778,"99°12'24""",99,12,24,-99.20666667,Calle VIA GUSTAVO BAZ,3826, ,Colonia INDUSTRIAL SAN NICOLAS TLAXCOLPAN,TLALNEPANTLA,MEXICO,Tlalnepantla de Baz,54030
PTI1102700059,"PEMEX TRANSFORMACION INDUSTRIAL,REFINERIA ""ING. ANTONIO M. AMOR""",324110,Refinación de petróleo,Petroleo y petroquimica,Refinacion de petroleo,REFINACION DEL CRUDO,,272044.2499,2277694.768,"20°35'4""",20,35,4,20.58444444,"101°11'13""",101,11,13,-101.1869444,Calle TIERRA BLANCA,400, ,Colonia REFINERIA ING. ANTONIO M. AMOR,SALAMANCA,GUANAJUATO,Salamanca,36730
PTI1307600040,"PEMEX-TRANSFORMACION INDUSTRIAL,REFINERIA ""MIGUEL HIDALGO""",324110,Refinación de petróleo,Petroleo y petroquimica,Refinacion de petroleo,REFINACION,,471434.2334,2216515.141,"20°2'43""",20,2,43,20.04527778,"99°16'23""",99,16,23,-99.27305556,Carretera  JOROBAS A TULA,KM.26.5 , ,Colonia EL LLANO 2a SECCION,ATITALAQUIA,HIDALGO,Atitalaquia,42970
PTI1307600077,"PEMEX-PETROQUIMICA,COMPLEJO PETROQUÍMICO TULA",324199,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral,Petroleo y petroquimica,Produccion de petroquimicos secundarios,PRODUCCIÓN DE PETROQUÍMICOS SECUNDARIOS,,470030.8966,2214706.067,"20°1'44""",20,1,44,20.02888889,"99°17'11""",99,17,11,-99.28638889,Carretera JOROBAS TULA,KM. 23.5 , ,Colonia SEGUNDA DEL LLANO,TULA DE ALLENDE,HIDALGO,Tula de Allende,42800
PTI1900900040,"PEMEX-REFINACION,REFINERÍA ING. HECTOR R. LARA SOSA",324110,Refinación de petróleo,Petroleo y petroquimica,Refinacion de petroleo,REFINACIÓN DEL PRETRÓLEO,,405099.0122,2830472.241,"25°35'19""",25,35,19,25.58861111,"99°56'41""",99,56,41,-99.94472222,Carretera CARR. MTY. REYNOSA,KM. 36 ,NO APLICA ,Ninguno NO APLICA,CADEREYTA JIMENEZ,NUEVO LEON,Cadereyta Jimenez,67483
PTI2007900027,"PEMEX TRANSFORMACIÓN INDUSTRIAL,REFINERÍA ""ING. ANTONIO DOVALÍ JAIME""",324110,Refinación de petróleo,Petroleo y petroquimica,Refinacion de petroleo,REFINACIÓN DE PETROLEO,,267627.5768,1793351.305,"16°12'34""",16,12,34,16.20944444,"95°10'25""",95,10,25,-95.17361111,Carretera  TRANSISTMICA SALINA CRUZ-TEHUANTEPEC,KM 3 ,NA NA,Colonia REFINERIA,SALINA CRUZ,OAXACA,Salina Cruz,70620
PTI2113200020,"PEMEX TRANSFORMACIÓN INDUSTRIAL,CENTRO PETROQUÍMICO INDEPENDENCIA",325190,Fabricación de otros productos químicos básicos orgánicos,Petroleo y petroquimica,Petroquimica basica ,PRODUCCION DE PETROQUÍMICOS SECUNDARIOS,,561271.1818,2129183.341,"19°15'19""",19,15,19,19.25527778,"98°25'1""",98,25,1,-98.41694444,Calle KM. 76.5 CARR. FEDERAL MEXICO-PUEBLA,S/N ,S/N ,Colonia _,SANTA MARIA MOYOTZINGO,PUEBLA,San Martin Texmelucan,74000
PTI2700400511,"Pemex Transformacion industrial,COMPLEJO PROCESADOR DE GAS NUEVO PEMEX",325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado,Petroleo y petroquimica,Petroquimica basica ,Procesamiento de gas natural y condensados amargos y sus liquido por medio de endulzamient,,487583.1896,1975215.21,"17°51'52""",17,51,52,17.86444444,"93°7'1""",93,7,1,-93.11694444,Carretera REFORMA CHIAPAS,SIN NUM , ,Pueblo LUIS GIL PEREZ,LUIS GIL PEREZ,TABASCO,Centro,86280
