NRA,NOMBRE,SECTOR,ESTADO,MUNICIPIO,SUSTANCIA,UNIDAD,AIRE,AGUA,SUELO,REUTILIZACION,RECICLADO,COPROCESAMIENTO,TRATAMIENTO,DISP_FINAL,ALCANTARILLADO,INCINERACION,OTROS,Comp_or_persist,Gases_Efecto_Invern,Hidrocarb_arom_y_alif,Metales,Organohalogenados,Sust_agot_del_ozono,Plaguicidas,Otras_sust_peligr,GRUPO
MML1201700009,Minera Media Luna.  S.A. de C.V.. Proyecto Minero Morelos,Metalurgica (incluye la siderurgica),GUERRERO,Cocula,Bioxido de carbono,Kg,139545050,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MMMA61902111,MONTOI.  S.A. DE C.V.. ,Articulos y productos compuestos de diferentes materiales,NUEVO LEON,Gral.  Escobedo,Plomo (polvos respirables.  humos o vapores),Kg,0,0,0,0,12524,0,0,0,0,0,0,,,,1,,,,,Metales
MMMBD1904611,HARSCO METALS DE MEXICO SA de CV. ,Otros,NUEVO LEON,San Nicolas de los Garza,Plomo (polvos respirables.  humos o vapores),Kg,0,0,0,0,0,0,0,865.5,0,0,0,,,,1,,,,,Metales
MMMSP2602211,MINERA MERCEDES MINERALES S DE RL DE CV. MINA MERCEDES,Metalurgica (incluye la siderurgica),SONORA,Cucurpe,Cadmio (compuestos),Kg,0,1.7018,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMMSP2602211,MINERA MERCEDES MINERALES S DE RL DE CV. MINA MERCEDES,Metalurgica (incluye la siderurgica),SONORA,Cucurpe,Cromo (compuestos),Kg,0,8.341,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMMSP2602211,MINERA MERCEDES MINERALES S DE RL DE CV. MINA MERCEDES,Metalurgica (incluye la siderurgica),SONORA,Cucurpe,Plomo (compuestos),Kg,0,14.8566,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMMSP2602211,MINERA MERCEDES MINERALES S DE RL DE CV. MINA MERCEDES,Metalurgica (incluye la siderurgica),SONORA,Cucurpe,Bioxido de carbono,Kg,262690,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Arsenico (compuestos),Kg,0,3.2364,2.0493,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Cadmio (compuestos),Kg,0,10.1094,4.8792,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Cromo (compuestos),Kg,0,133.458,65.056,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Mercurio (compuestos),Kg,0,0,1.9852,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Niquel (compuestos),Kg,0,387.0282,65.056,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Plomo (compuestos),Kg,0,50.046,24.396,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Tolueno,Kg,12401.04,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Bioxido de carbono,Kg,7286410,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Xileno (mezcla de isomeros),Kg,18781,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Hexafluoruro de azufre,Kg,30,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Formaldehido,Kg,4657,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Benceno,Kg,1930.815,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MMM1102700005,MAZDA MOTOR MANUFACTURING DE MEXICO SA DE CV. ,Automotriz,GUANAJUATO,Salamanca,Plomo (polvos respirables.  humos o vapores),Kg,0,0,0,0,0,1697,0,0,0,0,0,,,,1,,,,,Metales
